厂名,注册资本,地址,产品,批准编号
湖南省绿洲惠康发展有限公司,857.3396万(元),湖南省绥宁县关峡湘商产业园,医用外科口罩（无菌型）,湘械注准20202140212
湖南省绿洲惠康发展有限公司,857.3396万(元),湖南省绥宁县关峡湘商产业园,医用防护口罩（无菌型）,湘械注准20202140320
湖南省绿洲惠康发展有限公司,857.3396万(元),湖南省绥宁县关峡湘商产业园,医用防护口罩（非无菌型）,湘械注准20202140319
湖南省绿洲惠康发展有限公司,857.3396万(元),湖南省绥宁县关峡湘商产业园,一次性使用医用口罩（无菌型）,湘械注准20202140225
湖南省绿洲惠康发展有限公司,857.3396万(元),湖南省绥宁县关峡湘商产业园,一次性使用医用口罩（非无菌型）,湘械注准20202140228
湖南省国泰民康医疗科技有限公司,990万(元),湖南省邵阳市湘商产业园高新路南面1栋厂房2楼,一次性使用医用口罩（非无菌型）,湘械注准20202140609
湖南省健缘医疗科技有限公司,2,000万(元),湖南省娄底经济技术开发区洪冠街10号,医用防护口罩（无菌型）,湘械注准20202140438
湖南省健缘医疗科技有限公司,2,000万(元),湖南省娄底经济技术开发区洪冠街10号,医用防护口罩（非无菌型）,湘械注准20202140435
湖南省健缘医疗科技有限公司,2,000万(元),湖南省娄底经济技术开发区洪冠街10号,一次性医用口罩（非无菌型）,湘械注准20202140093
湖南省健缘医疗科技有限公司,2,000万(元),湖南省娄底经济技术开发区洪冠街10号,一次性医用口罩（无菌型）,湘械注准20202140394
湖南省健缘医疗科技有限公司,2,000万(元),湖南省娄底经济技术开发区洪冠街10号,医用外科口罩（无菌型）,湘械注准20202140669
湖南省健缘医疗科技有限公司,2,000万(元),湖南省娄底经济技术开发区洪冠街10号,医用外科口罩（非无菌型）,湘械注准20202140670
湖南省中亿生活用品有限公司,1,000万(元),新邵县大坪开发区财兴路,一次性使用医用口罩（非无菌型）,湘械注准20202140654
湖南省中亿生活用品有限公司,1,000万(元),新邵县大坪开发区财兴路,一次性使用医用口罩（无菌型）,湘械注准20202140653
湖南盛世德坤医药科技有限公司,1,000万(元),浏阳市北盛镇开元东路乌龙社区联芳片神冲组,一次性使用医用口罩（非无菌型）,湘械注准20202140361
湖南盛世德坤医药科技有限公司,1,000万(元),浏阳市北盛镇开元东路乌龙社区联芳片神冲组,一次性使用医用口罩（无菌型）,湘械注准20202140358
湖南盛世德坤医药科技有限公司,1,000万(元),浏阳市北盛镇开元东路乌龙社区联芳片神冲组,医用外科口罩（无菌型）,湘械注准20202140403
湖南特瑞精密医疗器械有限公司,500万(元),长沙市开福区沙坪街道中青路 1048 号山河医药健康产业园标准厂房 5-8 栋 612、613 房,医用防护口罩（无菌型）,湘械注准20202140092
湖南特瑞精密医疗器械有限公司,500万(元),长沙市开福区沙坪街道中青路 1048 号山河医药健康产业园标准厂房 5-8 栋 612、613 房,医用防护口罩（非无菌型）,湘械注准20202140091
湖南特瑞精密医疗器械有限公司,500万(元),长沙市开福区沙坪街道中青路 1048 号山河医药健康产业园标准厂房 5-8 栋 612、613 房,医用外科口罩（无菌型）,湘械注准20202140178
湖南特瑞精密医疗器械有限公司,500万(元),长沙市开福区沙坪街道中青路 1048 号山河医药健康产业园标准厂房 5-8 栋 612、613 房,医用外科口罩（非无菌型）,湘械注准20202140176
湖南特瑞精密医疗器械有限公司,500万(元),长沙市开福区沙坪街道中青路 1048 号山河医药健康产业园标准厂房 5-8 栋 612、613 房,一次性使用医用口罩（无菌型）,湘械注准20202140179
湖南特瑞精密医疗器械有限公司,500万(元),长沙市开福区沙坪街道中青路 1048 号山河医药健康产业园标准厂房 5-8 栋 612、613 房,一次性使用医用口罩（非无菌型）,湘械注准20202140177
湖南灵康医疗科技有限公司,1,200万(元),长沙高新开发区谷苑路229号海凭园10栋8层802号,医用外科口罩（无菌型）,湘械注准20202140274
湖南灵康医疗科技有限公司,1,200万(元),长沙高新开发区谷苑路229号海凭园10栋8层802号,医用外科口罩（非无菌型）,湘械注准20202140689
湖南溢康源明医疗器械有限公司,500万(元),长沙经济技术开发区枫树路280号,医用外科口罩（无菌型）,湘械注准20202140651
湖南溢康源明医疗器械有限公司,500万(元),长沙经济技术开发区枫树路280号,医用外科口罩（非无菌型）,湘械注准20202140652
湖南源康生物科技有限公司,500万(元),衡阳县西渡镇三联社区和平组,医用外科口罩（非无菌型）,湘械注准20202140204
湖南源康生物科技有限公司,500万(元),衡阳县西渡镇三联社区和平组,一次性使用医用口罩（非无菌型）,湘械注准20202140187
湖南润富祥服饰有限公司,10,088万(元),湖南省株州市醴陵市船湾镇四方居委会,一次性使用医用口罩（非无菌型）,湘械注准20202140429
湖南润富祥服饰有限公司,10,088万(元),湖南省株洲市醴陵市船湾镇四方居委会,一次性使用医用口罩（无菌型）,湘械注准20202140430
湖南海贽医疗科技有限公司,1,560.4万(元),湖南省长沙市高新开发区谷苑路229号海凭医疗器械产业园9栋1层.2层.3层,医用外科口罩（非无菌型）,湘械注准20202140622
湖南海元堂医药企业管理有限公司,500万(元),湖南省岳阳市湘阴县工业园区茉莉路南,一次性使用医用口罩（无菌型）,湘械注准20202140624
湖南海元堂医药企业管理有限公司,500万(元),湖南省岳阳市湘阴县工业园区茉莉路南,一次性使用医用口罩（非无菌型）,湘械注准20202140623
湖南派意特服饰有限公司,10,000万(元),长沙市望城区腾飞路二段1689号,一次性使用医用口罩（非无菌型）,湘械注准20202140364
湖南派意特服饰有限公司,10,000万(元),长沙市望城区腾飞路二段1689号,一次性使用医用口罩（无菌型）,湘械注准20202140365
湖南津湘制药有限公司,3,000万(元),湖南省益阳市赫山区龙岭工业园迎宾东路,一次性使用医用外科口罩（无菌型）,湘械注准20202140387
湖南津湘制药有限公司,3,000万(元),湖南省益阳市赫山区龙岭工业园迎宾东路,一次性使用医用外科口罩（非无菌型）,湘械注准20202140388
湖南泰瑞医疗科技有限公司,3,333.3333万(元),长沙高新开发区谷苑路229号湖南麓谷国际医疗器械产业园A1栋1层,医用外科口罩（非无菌型）,湘械注准20202140304
湖南泰瑞医疗科技有限公司,3,333.3333万(元),长沙高新开发区谷苑路229号湖南麓谷国际医疗器械产业园A1栋1层,医用外科口罩（无菌型）,湘械注准20202140305
湖南泰瑞医疗科技有限公司,3,333.3333万(元),长沙高新开发区谷苑路229号湖南麓谷国际医疗器械产业园A1栋1层,一次性使用医用口罩（非无菌型）,湘械注准20202140292
湖南泰瑞医疗科技有限公司,3,333.3333万(元),长沙高新开发区谷苑路229号湖南麓谷国际医疗器械产业园A1栋1层,一次性使用医用口罩（无菌型）,湘械注准20202140293
湖南泓坤医疗器械有限公司,200万(元),湖南省衡阳市高新技术产业开发区蔡伦路10号,医用外科口罩（无菌型）,湘械注准20202140373
湖南泓坤医疗器械有限公司,200万(元),湖南省衡阳市高新技术产业开发区蔡伦路10号,医用外科口罩（非无菌型）,湘械注准20202140374
湖南泓坤医疗器械有限公司,200万(元),湖南省衡阳市高新技术产业开发区蔡伦路10号,医用防护口罩（非无菌型）,湘械注准20202140620
湖南泓坤医疗器械有限公司,200万(元),湖南省衡阳市高新技术产业开发区蔡伦路10号,医用防护口罩（无菌型）,湘械注准20202140617
湖南沃源美医疗器械有限公司,500万(元),长沙经济技术开发区枫树路280号,医用外科口罩（无菌型）,湘械注准20202140699
湖南沃源美医疗器械有限公司,500万(元),长沙经济技术开发区枫树路280号,医用外科口罩（非无菌型）,湘械注准20202140700
湖南永康医疗器械有限公司,200万(元),湖南省常德市临澧县经济开发区金诚创业基地内5栋A座,医用外科口罩（非无菌型）,湘械注准20202140175
湖南永康医疗器械有限公司,200万(元),湖南省常德市临澧县经济开发区金诚创业基地内5栋A座,医用外科口罩（无菌型）,湘械注准20202140174
湖南永康医疗器械有限公司,200万(元),湖南省常德市临澧县经济开发区金诚创业基地内5栋A座,普通医用口罩,湘械注准20192140017
湖南梦联佳医疗器械有限公司,1,000万(元),湖南省永州市祁阳县经济开发区灯塔路电子信息产业园六栋南二楼,医用外科口罩（非无菌型）,湘械注准20202140650
湖南梦洁家纺股份有限公司,77,976.476万(元),长沙市高新技术开发区麓谷产业基地谷苑路168号,一次性医用口罩（非无菌型）,湘械注准20202140351
湖南梦洁家纺股份有限公司,77,976.476万(元),长沙市高新技术开发区麓谷产业基地谷苑路168号,一次性医用口罩（无菌型）,湘械注准20202140352
湖南普瑞康医疗用品有限公司,1,000万(元),湖南省长沙市天心区先锋街道天心创业园六栋四楼,医用外科口罩（非无菌型）,湘械注准20202140406
湖南晟洋医疗器械有限公司,200万(元),长沙经济技术开发区榔梨街道东六路南段77号金科亿达科技城B19栋202,医用外科口罩（无菌型）,湘械注准20202140459
湖南晟洋医疗器械有限公司,200万(元),长沙经济技术开发区榔梨街道东六路南段77号金科亿达科技城B19栋202,一次性使用医用口罩（非无菌型）,湘械注准20202140396
湖南晟洋医疗器械有限公司,200万(元),长沙经济技术开发区榔梨街道东六路南段77号金科亿达科技城B19栋202,一次性使用医用口罩（无菌型）,湘械注准20202140395
湖南星怡康医疗科技有限公司,1,200万(元),湖南省长沙县湘龙街道雷公岭路36号后栋四楼,医用外科口罩（无菌型）,湘械注准20202140703
湖南星怡康医疗科技有限公司,1,200万(元),湖南省长沙县湘龙街道雷公岭路36号后栋四楼,医用外科口罩（非无菌型）,湘械注准20202140702
湖南星怡康医疗科技有限公司,1,200万(元),湖南省长沙县湘龙街道雷公岭路36号后栋四楼,一次性使用医用口罩（非无菌型）,湘械注准20202140672
湖南星怡康医疗科技有限公司,1,200万(元),湖南省长沙县湘龙街道雷公岭路36号后栋四楼,一次性使用医用口罩（无菌型）,湘械注准20202140671
湖南新金辐医疗科技有限公司,1,000万(元),湖南省长沙县黄兴镇秋江大道路258号2号栋厂房101号,医用防护口罩,湘械注准20202140160
湖南新金辐医疗科技有限公司,1,000万(元),湖南省长沙县黄兴镇秋江大道路258号2号栋厂房101号,医用防护口罩,湘械注准20202140161
湖南恒昌医药有限公司,5,631万(元),长沙市开福区中青路1048号山河医药健康产业园标准厂房第16栋102、2楼、3楼,医用外科口罩（无菌型）,湘械注准20202140216
湖南恒昌医药有限公司,5,631万(元),长沙市开福区中青路1048号山河医药健康产业园标准厂房第16栋102、2楼、3楼,医用外科口罩（非无菌型）,湘械注准20202140215
湖南恒昌医药有限公司,5,631万(元),长沙市开福区中青路1048号山河医药健康产业园标准厂房第16栋102、2楼、3楼,医用防护口罩（非无菌型）,湘械注准20202140219
湖南恒昌医药有限公司,5,631万(元),长沙市开福区中青路1048号山河医药健康产业园标准厂房第16栋102、2楼、3楼,医用防护口罩（无菌型）,湘械注准20202140220
湖南恒昌医药有限公司,5,631万(元),长沙市开福区中青路1048号山河医药健康产业园标准厂房第16栋102、2楼、3楼,一次性使用医用口罩（非无菌型）,湘械注准20202140217
湖南恒昌医药有限公司,5,631万(元),长沙市开福区中青路1048号山河医药健康产业园标准厂房第16栋102、2楼、3楼,一次性使用医用口罩（无菌型）,湘械注准20202140218
湖南怀康医疗器械有限责任公司,600万(元),湖南省怀化市经济开发区吉祥大道1号创新创业园标准化厂房1栋5楼B区,一次性使用医用口罩（非无菌型）,湘械注准20202140303
湖南怀康医疗器械有限责任公司,600万(元),湖南省怀化市经济开发区吉祥大道1号创新创业园标准化厂房1栋5楼B区,医用外科口罩（非无菌型）,湘械注准20202140279
湖南德荣生物医学工程有限公司,1,000万(元),南省长沙市开福区沙坪街道中青路1048山河医药健康产业园标准厂房17栋301-12、401-2号,医用外科口罩（无菌型）,湘械注准20202140251
湖南德荣生物医学工程有限公司,1,000万(元),湖南省长沙市开福区沙坪街道中青路1048山河医药健康产业园标准厂房17栋301-12、401-2号,医用外科口罩（非无菌型）,湘械注准20202140250
湖南德荣生物医学工程有限公司,1,000万(元),湖南省长沙市开福区沙坪街道中青路1048山河医药健康产业园标准厂房17栋301-12、401-2号,一次性使用医用口罩（无菌型）,湘械注准20202140249
湖南德荣生物医学工程有限公司,1,000万(元),湖南省长沙市开福区沙坪街道中青路1048山河医药健康产业园标准厂房17栋301-12、401-2号,一次性使用医用口罩（非无菌型）,湘械注准20202140248
湖南徕木电子有限公司,500万(元),湖南常德市汉寿经济开发区黄福居委会麒麟路88号,医用外科口罩（无菌型）,湘械注准20202140255
湖南康都制药有限公司,9,000万(元),祁阳县龙山街道办事处天马路1号,医用外科口罩（非无菌型）,湘械注准20202140431
湖南康都制药有限公司,9,000万(元),祁阳县龙山街道办事处天马路1号,医用外科口罩（无菌型）,湘械注准20202140421
湖南康邦医疗器械有限公司,500万(元),湖南省永州市经开区长丰工业园零陵南路与丰泰路交叉口东南角（潇 湘科技创新中心） 624 室,一次性使用医用口罩（无菌型）,湘械注准20202140456
湖南康邦医疗器械有限公司,500万(元),湖南省永州市经开区长丰工业园零陵南路与丰泰路交叉口东南角（潇 湘科技创新中心） 624 室,一次性使用医用口罩（非无菌型）,湘械注准20202140455
湖南康特防护科技有限公司,320万(元),浏阳市永安镇丰裕社区丰裕片圹下组,医用防护口罩（非无菌型）,湘械注准20202140191
湖南康特防护科技有限公司,320万(元),浏阳市永安镇丰裕社区丰裕片圹下组,医用外科口罩(无菌型),湘械注准20202140276
湖南康特防护科技有限公司,320万(元),浏阳市永安镇丰裕社区丰裕片圹下组,医用外科口罩（非无菌型）,湘械注准20202140275
湖南康特防护科技有限公司,320万(元),浏阳市永安镇丰裕社区丰裕片圹下组,一次性使用医用口罩（非无菌型）,湘械注准20202140188
湖南康特防护科技有限公司,320万(元),浏阳市永安镇丰裕社区丰裕片圹下组,医用防护口罩（无菌型）,湘械注准20202140245
湖南康特防护科技有限公司,320万(元),浏阳市永安镇丰裕社区丰裕片圹下组,一次性使用医用口罩（无菌型）,湘械注准20202140246
湖南康沃医疗用品有限公司,1,111万(元),湖南省岳阳市华容工业集中区行政服务中心（三封工业园）,医用外科口罩（非无菌型）,湘械注准20202140264
湖南康沃医疗用品有限公司,1,111万(元),湖南省岳阳市华容工业集中区行政服务中心（三封工业园）,医用防护口罩（非无菌型）,湘械注准20202140263
湖南康沃医疗用品有限公司,1,111万(元),湖南省岳阳市华容工业集中区行政服务中心（三封工业园）,一次性使用医用口罩（非无菌型）,湘械注准20202140273
湖南康沃医疗用品有限公司,1,111万(元),湖南省岳阳市华容工业集中区行政服务中心（三封工业园）,一次性使用医用口罩（非无菌型）,湘械注准20202140232
湖南康怡医疗器械有限公司,200万(元),湖南常德市汉寿经济开发区天星居委会金牛大道东段（天星居委会斜对面）,医用外科口罩（无菌型）,湘械注准20202140165
湖南康怡医疗器械有限公司,200万(元),湖南常德市汉寿经济开发区天星居委会金牛大道东段（天星居委会斜对面）,普通医用口罩,湘械注准20162640049
湖南康怡医疗器械有限公司,200万(元),湖南常德市汉寿经济开发区天星居委会金牛大道东段（天星居委会斜对面）,医用防护口罩（无菌型）,湘械注准20202140646
湖南康尔佳生物医药科技有限公司,3,000万(元),张家界市永定区经济开发区C区,医用外科口罩（非无菌型）,湘械注准20202140256
湖南康尔佳生物医药科技有限公司,3,000万(元),湖南省张家界市永定区经济开发区C区,医用外科口罩（无菌型）,湘械注准20202140648
湖南康安达健康用品有限公司,200万(元),湖南麻阳苗族自治县长寿产业园鸿基楼,医用外科口罩,湘械注准20202140692
湖南康卫宁医疗器械有限公司,1,000万(元),湖南省益阳市桃江县桃江经济开发区31栋,一次性使用医用口罩（无菌型）,湘械注准20202140602
湖南康卫宁医疗器械有限公司,1,000万(元),湖南省益阳市桃江县桃江经济开发区31栋,一次性医用外科口罩（无菌型）,湘械注准20202140603
湖南康卫宁医疗器械有限公司,1,000万(元),湖南省益阳市桃江县桃江经济开发区31栋,一次性医用外科口罩（非无菌型）,湘械注准20202140640
湖南康卫宁医疗器械有限公司,1,000万(元),湖南省益阳市桃江县桃江经济开发区31栋,一次性使用医用口罩（非无菌型）,湘械注准20202140641
湖南康利来医疗器械有限公司,500万(元),湖南省常德市汉寿县沧浪街道八角楼社区龙阳南路108号,一次性使用医用口罩（无菌型）,湘械注准20202140190
湖南康利来医疗器械有限公司,500万(元),湖南省常德市汉寿县沧浪街道八角楼社区龙阳南路 108 号,医用防护口罩(无菌型),湘械注准20202140462
湖南康利来医疗器械有限公司,500万(元),湖南省常德市汉寿县沧浪街道八角楼社区龙阳南路 108 号,医用外科口罩（无菌型）,湘械注准20202140184
湖南康之健科技有限公司,1,000万(元),湖南省岳阳市岳阳经济技术开发区木里港路岳阳现代装备制造产业园四栋一楼、四楼。,一次性使用医用口罩（非无菌型）,湘械注准20202140644
湖南康之健科技有限公司,1,000万(元),湖南省岳阳市岳阳经济技术开发区木里港路岳阳现代装备制造产业园四栋一楼、四楼。,一次性使用医用口罩（无菌型）,湘械注准20202140645
湖南平安医械科技有限公司,3,998万(元),澧县经济开发区工业大道8号,医用外科口罩（非无菌型）,湘械注准20202140473
湖南平安医械科技有限公司,3,998万(元),澧县经济开发区工业大道8号,医用外科口罩（无菌型）,湘械注准20202140472
湖南平安医械科技有限公司,3,998万(元),澧县经济开发区工业大道8号,一次性使用医用口罩(非无菌型）,湘械注准20202140164
湖南平安医械科技有限公司,3,998万(元),澧县经济开发区工业大道8号,一次性使用医用口罩（无菌型）,湘械注准20202140167
湖南尤米服饰有限公司,200万(元),浏阳市龙伏镇工业小区同心路88号,医用外科口罩（无菌型）,湘械注准20202140643
湖南尤米服饰有限公司,200万(元),浏阳市龙伏镇工业小区同心路88号,医用外科口罩（非无菌型）,湘械注准20202140642
湖南尤米服饰有限公司,200万(元),浏阳市龙伏镇工业小区同心路88号,一次性使用医用口罩（非无菌型）,湘械注准20202140630
湖南尤米服饰有限公司,200万(元),浏阳市龙伏镇工业小区同心路88号,一次性使用医用口罩（无菌型）,湘械注准20202140629
湖南尚鑫新材料科技有限公司,8,000万(元),湖南省衡阳市祁东县归阳工业园区,医用外科口罩（无菌型）,湘械注准20202140614
湖南尚鑫新材料科技有限公司,8,000万(元),湖南省衡阳市祁东县归阳工业园,一次性使用医用口罩（非无菌型）,湘械注准20202140668
湖南寰宇新材料科技股份有限公司,2,000万(元),湖南省怀化市高新区发展路 5 号,医用防护口罩（非无菌型）,湘械注准20202140619
湖南寰宇新材料科技股份有限公司,2,000万(元),湖南省怀化市高新区发展路 5 号,医用防护口罩（无菌型）,湘械注准20202140618
湖南宏福鑫悦医疗科技有限公司,600万(元),长沙高新开发区岳麓西大道2450号环创园A4栋103,109号房,医用外科口罩（非无菌型）,湘械注准20202140341
湖南天龙制药有限公司,2,390万(元),湖南省台商投资区望城县望城大道２２８号,医用外科口罩（非无菌型）,湘械注准20202140709
湖南大自然制药有限公司,5,900万(元),湖南省永州市凤凰园湖塘西路588号,一次性使用医用口罩（无菌型）,湘械注准20202140346
湖南大自然制药有限公司,5,900万(元),湖南省永州市凤凰园湖塘西路588号,一次性使用医用口罩（非无菌型),湘械注准20202140345
湖南大自然制药有限公司,5,900万(元),湖南省永州市凤凰园湖塘西路588号,医用外科口罩（非无菌型）,湘械注准20202140313
湖南大自然制药有限公司,5,900万(元),湖南省永州市凤凰园湖塘西路588号,医用外科口罩（无菌型）,湘械注准20202140314
湖南圆梦医疗器械有限公司,500万(元),湖南省怀化高新技术产业开发区标准化厂房二号楼南楼二层,一次性使用医用口罩(非无菌型),湘械注准20202140290
湖南圆梦医疗器械有限公司,500万(元),湖南省怀化高新技术产业开发区标准化厂房二号楼南楼二层,医用外科口罩（非无菌型）,湘械注准20202140302
湖南友宏医疗科技有限公司,2,000万(元),益阳市资阳区长春经济开发区幸福渠东路,医用防护口罩（无菌型）,湘械注准20202140267
湖南友宏医疗科技有限公司,2,000万(元),益阳市资阳区长春经济开发区幸福渠东路,医用防护口罩（非无菌型）,湘械注准20202140268
湖南友宏医疗科技有限公司,2,000万(元),益阳市资阳区长春经济开发区幸福渠东路,医用外科口罩（无菌型）,湘械注准20202140367
湖南友宏医疗科技有限公司,2,000万(元),益阳市资阳区长春经济开发区幸福渠东路,医用外科口罩（非无菌型）,湘械注准20202140368
湖南友宏医疗科技有限公司,2,000万(元),益阳市资阳区长春经济开发区幸福渠东路,一次性使用医用口罩（非无菌型）,湘械注准20202140236
湖南友宏医疗科技有限公司,2,000万(元),益阳市资阳区长春经济开发区幸福渠东路,一次性使用医用口罩（无菌型）,湘械注准20202140235
湖南博润医疗器械有限公司,1,000万(元),株洲云龙示范区云龙大道,菖塘路及盘龙路交汇处创业创新产业园一期8号栋,一次性使用医用口罩（非无菌型）,湘械注准20202140434
湖南博润医疗器械有限公司,1,000万(元),株洲云龙示范区云龙大道,菖塘路及盘龙路交汇处创业创新产业园一期8号栋,一次性使用医用口罩（无菌型）,湘械注准20202140433
湖南博润医疗器械有限公司,1,000万(元),株洲云龙示范区云龙大道,菖塘路及盘龙路交汇处创业创新产业园一期8号栋,一次性使用医用外科口罩（无菌型）,湘械注准20202140401
湖南华升金爽健康科技有限公司,3,654.2万(元),湖南省衡山县开云镇经济开发区工业大道,医用外科口罩（无菌型）,湘械注准20202140324
湖南华升金爽健康科技有限公司,3,654.2万(元),湖南省衡山县开云镇经济开发区工业大道,医用外科口罩（非无菌型）,湘械注准20202140327
湖南华升金爽健康科技有限公司,3,654.2万(元),湖南省衡山县开云镇经济开发区工业大道,一次性使用医用口罩（无菌型）,湘械注准20202140242
湖南华升金爽健康科技有限公司,3,654.2万(元),湖南省衡山县开云镇经济开发区工业大道,一次性医用口罩（非无菌型）,湘械注准20202140243
湖南千山慢病健康管理有限公司,17,230万(元),长沙经济技术开发区枫树路 280 号,医用外科口罩（无菌型）,湘械注准20202140428
湖南千山医疗器械有限公司,6,000万(元),湖南省祁阳县经济开发区灯塔路18 号,医用外科口罩（无菌型）,湘械注准20202140420
湖南凯利医疗科技有限公司,1,000万(元),长沙高新开发区谷苑路229号海凭园生产厂房二402,医用外科口罩（非无菌型）,湘械注准20202140189
湖南凯利医疗科技有限公司,1,000万(元),长沙高新开发区谷苑路229号海凭园生产厂房二402,医用外科口罩（无菌型）,湘械注准20202140278
湖南凌礼实业发展有限公司,5,288万(元),湖南祁阳经济开发区灯塔路食品医药产业区凌礼实业,医用外科口罩（无菌型）,湘械注准20202140329
湖南凌礼实业发展有限公司,5,288万(元),湖南祁阳经济开发区灯塔路食品医药产业区,医用外科口罩（非无菌型）,湘械注准20202140330
湖南凌亦浩科技有限公司,500万(元),湖南省株洲市茶陵县经济开发区三园区办公楼,医用外科口罩（无菌型）,湘械注准20202140417
湖南凌亦浩科技有限公司,500万(元),湖南省株洲市茶陵县经济开发区三园区办公楼,医用外科口罩（非无菌型）,湘械注准20202140416
湖南凌亦浩科技有限公司,500万(元),湖南省株洲市茶陵县经济开发区三园区办公楼,一次性使用医用口罩（非无菌型）,湘械注准20202140415
湖南凌亦浩科技有限公司,500万(元),湖南省株洲市茶陵县经济开发区三园区办公楼,一次性使用医用口罩（无菌型）,湘械注准20202140414
湖南保灵生物药业有限公司,1,000万(元),茶陵县经济开发区,一次性使用医用口罩（非无菌型）,湘械注准20202140649
湖南保灵生物药业有限公司,1,000万(元),茶陵县经济开发区,一次性使用医用口罩（无菌型）,湘械注准20202140621
湖南优尼沃斯医疗科技有限公司,500万(元),长沙经开区泉塘街道社塘路335号三号厂房5层,医用外科口罩（非无菌型）,湘械注准20202140697
湖南优尼沃斯医疗科技有限公司,500万(元),长沙经开区泉塘街道社塘路335号三号厂房5层,医用外科口罩（无菌型）,湘械注准20202140696
湖南仁馨生物技术有限公司,1,000万(元),长沙市高新区麓谷国际工业园工业厂房A7栋5楼502房,医用外科口罩（非无菌型）,湘械注准20202140635
湖南仁馨生物技术有限公司,1,000万(元),长沙市高新区麓谷国际工业园工业厂房A7栋5楼502房,一次性使用医用口罩（非无菌型）,湘械注准20202140606
湖南九弘医疗科技有限公司,500万(元),长沙高新开发区林语路158号研发楼501,医用外科口罩（无菌型）,湘械注准20202130422
湖南九弘医疗科技有限公司,500万(元),长沙高新开发区林语路158号研发楼501,一次性使用医用口罩（非无菌型）,湘械注准20202140360
湖南九弘医疗科技有限公司,500万(元),长沙高新开发区林语路158号研发楼501,一次性使用医用口罩（无菌型）,湘械注准20202140647
湖南三瑞生物科技有限责任公司,300万(元),湖南望城经济开发区黄金创业园C4栋2楼,医用防护口罩（非无菌型）,湘械注准20202140234
湖南三瑞生物科技有限责任公司,300万(元),湖南望城经济开发区黄金创业园C4栋2楼,医用防护口罩（无菌型）,湘械注准20202140233
湖南三瑞生物科技有限责任公司,300万(元),湖南望城经济开发区黄金创业园C4 栋1 楼、C4 栋2 楼、C3 栋1 楼、 C3 栋501-3,一次性使用医用口罩（非无菌型）,湘械注准20202140299
湖南三瑞生物科技有限责任公司,300万(元),湖南望城经济开发区黄金创业园C4 栋1 楼、C4 栋2 楼、C3 栋1 楼、 C3 栋501-3,一次性使用医用口罩（无菌型）,湘械注准20202140300
湖南三瑞生物科技有限责任公司,300万(元),湖南望城经济开发区黄金创业园C4 栋1 楼、C4 栋2 楼、C3 栋1 楼、 C3 栋501-3,医用外科口罩（无菌型）,湘械注准20202140378
湖南三瑞生物科技有限责任公司,300万(元),湖南望城经济开发区黄金创业园C4 栋1 楼、C4 栋2 楼、C3 栋1 楼、 C3 栋501-3,医用外科口罩（非无菌型）,湘械注准20202140377
湖南万安达集团永达实业有限责任公司,200万(元),湖南永州市零陵区何家坪16号,一次性使用医用口罩（非无菌型）,湘械注准20202140383
湖南万安达集团永达实业有限责任公司,200万(元),湖南永州市零陵区何家坪16号,一次性使用医用口罩（无菌型）,湘械注准20202140384
湖南万安达集团永达实业有限责任公司,200万(元),湖南永州市零陵区何家坪16号,医用外科口罩（非无菌型）,湘械注准20202140423
湖南万安达集团永达实业有限责任公司,200万(元),湖南永州市零陵区何家坪16号,医用外科口罩（无菌型）,湘械注准20202140424
湖南一喜科技服务有限公司,1,000万(元),湖南浏阳高新技术产业开发区坪头北路6号3栋,医用外科口罩（无菌型）,湘械注准20202140298
湖南一喜科技服务有限公司,1,000万(元),湖南浏阳高新技术产业开发区坪头北路6号3栋,医用外科口罩（非无菌型）,湘械注准20202140288
湖南一喜科技服务有限公司,1,000万(元),湖南浏阳高新技术产业开发区坪头北路6号3栋,一次性使用医用口罩（无菌型）,湘械注准20202140289
湖南一喜科技服务有限公司,1,000万(元),湖南浏阳高新技术产业开发区坪头北路6号3栋,一次性使用医用口罩（非无菌型）,湘械注准20202140297
湖北金士达医用产品有限公司,1,160万(元),1.仙桃市张沟镇文卫路2号，2.仙桃市仙汉路10号。,医用外科口罩,鄂械注准20202142885
湖北金士达医用产品有限公司,1,160万(元),1、仙桃市张沟镇文卫路2号2、仙桃市仙汉路10号,普通医用口罩,鄂械注准20142140961
湖北艾马斯-威达劳保用品有限公司,248万(元),-,一次性使用医用口罩,鄂械注准20162642271
湖北维康防护用品有限公司,200万(元),-,一次性使用医用口罩,鄂械注准20172642433
湖北科力迪防护用品有限公司,100万(元),仙桃市彭场镇富源路4A,一次性使用医用口罩,鄂械注准20182642503
湖北福鑫医疗器械有限公司,2,000万(元),湖北省沙洋经济开发区,医用外科口罩,鄂械注准20202142914
湖北省潜江市江赫医用材料有限公司,2,500万(元),潜江市园林办事处袁光路,医用外科口罩,鄂械注准20202142883
湖北省潜江市江赫医用材料有限公司,2,500万(元),潜江市园林办事处袁光路,一次性使用医用口罩,鄂械注准20142641370
湖北瑞康医用耗材有限公司,500万(元),仙桃市龙华山办事处创业路,一次性使用医用口罩,鄂械注准20192142853
湖北明尔康卫生防护用品有限公司,200万(元),仙桃市龙华山办事处杜台工业园1号,一次性使用医用口罩,鄂械注准20202142171
湖北明尔康卫生防护用品有限公司,200万(元),-,一次性使用医用口罩,鄂械注准20152642171
湖北恒保防护用品有限公司,600万(元),仙桃市郭河镇工业园区8号,一次性使用医用口罩,鄂械注准20202142887
